cbsa,metro_name,year,hpi,appreciation_rate,pop_growth_rate,unemployment_rate,poverty_rate,median_income,pct_bachelors_plus,vacancy_rate,homeownership_rate,mortgage_rate
20994,"Elgin, IL (MSAD)",2013,141.16,7.077296518243181,0.1532589420827346,9.758256698965544,14.36922880665705,60564.0,35.1207177489552,9.0003713483638,64.10106740483738,3.975
20994,"Elgin, IL (MSAD)",2014,146.66,3.8962879002550244,0.17584072206890955,8.35933828981272,13.892186962036762,61598.0,36.079695495614274,9.507704206627476,63.99574803597958,4.1725
20994,"Elgin, IL (MSAD)",2015,155.57,6.0752761489158535,-0.038748938904997754,7.098173236251691,13.332585522604228,63153.0,35.99387483870887,8.945786301022007,63.24268012064559,3.8475
20994,"Elgin, IL (MSAD)",2016,163.38,5.02024811981745,-0.3888961255726131,6.324160223554139,12.40706486175666,66020.0,37.19492062303196,8.611660245868707,63.407486750476494,3.6550000000000002
20994,"Elgin, IL (MSAD)",2017,171.2,4.786387562737171,0.219983920896194,6.147767825925149,11.760207193596518,68403.0,37.73834094946583,9.23358941500192,64.38369044970747,3.9875
20994,"Elgin, IL (MSAD)",2018,174.63,2.003504672897205,-0.37870146461650434,5.651202877088896,11.2042782223287,70760.0,38.53925054375306,8.30735492411471,64.77853515204907,4.5425
20994,"Elgin, IL (MSAD)",2019,181.3,3.8195040943709735,-0.42033988959536694,4.910464570661221,10.5589327377716,75379.0,39.24684304103966,8.535807543370348,64.44794745892686,3.935
20994,"Elgin, IL (MSAD)",2021,224.61,13.18786534972789,0.27766831569950856,7.586079831624945,11.48708541553923,78166.0,40.62541244230385,7.2227849169940255,65.93871103438957,2.9575
20994,"Elgin, IL (MSAD)",2022,240.4,7.02996304705934,-0.7174364037647263,4.925973962795924,11.190689086465996,82914.0,41.13569703719222,6.11352347473082,65.43733056094224,5.3425
20994,"Elgin, IL (MSAD)",2023,266.43,10.82778702163061,-1.9021073464236316,4.877898692886111,10.98652083613804,87071.0,42.0756876691405,6.141334828939988,65.9331381263892,6.805
20994,"Elgin, IL (MSAD)",2024,285.66,7.217655669406597,1.5585865633892304,5.493685678272832,11.091513182262574,90770.0,43.062428685273055,5.953537443743915,65.85185028622898,6.7225
21340,"El Paso, TX",2012,177.22,-0.07893549842129532,0.8050780345764341,9.922501852866304,24.02611226304229,40345.0,20.910938756962228,6.492383637916066,60.94918375568301,3.655
21340,"El Paso, TX",2013,177.34,0.06771244780499064,0.5483455362473633,8.201828559348906,22.596972645002563,39873.0,20.80824230226104,8.442557033818197,60.9376685414901,3.975
21340,"El Paso, TX",2014,174.99,-1.325138152701022,0.541989458311054,7.824077741688453,23.423181710639607,40133.0,21.01414868488253,10.964423667579414,61.52727754650202,4.1725
21340,"El Paso, TX",2015,184.76,5.583176181496086,0.18829712449368596,6.08427559602042,20.11491740084093,43633.0,22.767333012898803,10.105867390781288,61.533902550004015,3.8475
21340,"El Paso, TX",2016,186.74,1.07166053258283,0.4886524052557295,5.485464929731117,22.826564434327704,42116.0,21.92729314775745,9.093620973701515,60.052876512089256,3.6550000000000002
21340,"El Paso, TX",2017,194.04,3.9091785370033216,0.06685555637360174,5.953840306288119,21.0594588327087,44416.0,22.84908376227995,9.294679111069316,61.23646677231594,3.9875
21340,"El Paso, TX",2018,194.9,0.4432075860647311,0.24279765556671773,6.12292860500235,20.644024432602784,43862.0,23.48112194625368,9.915471617867915,61.099062414706296,4.5425
21340,"El Paso, TX",2019,208.92,7.193432529502308,-0.11814523814315248,5.4322928362901415,18.68115528563001,48823.0,23.25639159086176,10.764001294917447,60.50004257099175,3.935
21340,"El Paso, TX",2021,274.52,18.68568958063119,1.6594269459835886,7.9301838447554385,20.10242785478317,51002.0,25.977716581743422,7.18675448202691,65.25869301450312,2.9575
21340,"El Paso, TX",2022,299.25,9.0084511146729,-0.04634478454836888,5.484422800179169,21.3118655655122,53359.0,25.764213671202302,7.285788530080171,62.662319354935,5.3425
21340,"El Paso, TX",2023,321.85,7.552213868003355,0.0849283216442176,4.055861257279252,18.46869606718563,59037.0,25.89204832990255,7.733045667905339,63.36597919364615,6.805
21340,"El Paso, TX",2024,335.7,4.303246854124576,0.6624521393523208,4.5232905069309615,18.151838119033805,59834.0,26.59580343828004,7.975461986740479,64.35997926523659,6.7225
21794,"Everett, WA (MSAD)",2012,188.04,13.39323403485495,1.489446078400558,7.555134740093592,11.70848647043374,65677.0,37.749585754050976,7.015250839286378,59.52657971587803,3.655
21794,"Everett, WA (MSAD)",2013,209.99,11.673048287598387,1.6313468126549546,7.236847131179058,12.553139487234008,67479.0,39.44179406628948,6.620493450261964,59.13230776744424,3.975
21794,"Everett, WA (MSAD)",2014,223.71,6.5336444592599685,1.700033655530797,5.744714506250088,11.298357063409938,71273.0,39.421586382604666,6.930729109101967,59.30088269657296,4.1725
21794,"Everett, WA (MSAD)",2015,248.84,11.233293102677578,1.6914713910855417,5.417737176253811,10.207769948218658,75331.0,41.15896593995551,6.064167152504176,59.944879775010406,3.8475
21794,"Everett, WA (MSAD)",2016,282.82,13.65536087445749,1.7495808312665062,4.729629602986771,9.616247986588563,78612.0,41.964923871701245,5.62601142067885,59.48655952697071,3.6550000000000002
21794,"Everett, WA (MSAD)",2017,315.77,11.65051976522169,1.7937814663289586,4.367430639776713,8.985595828010357,82133.0,41.93701701610026,6.313777875563797,59.99435027111317,3.9875
21794,"Everett, WA (MSAD)",2018,339.49,7.511796560787931,1.8700837797119618,3.765393625480882,8.716903510706944,87910.0,43.625623439820856,5.63969462628321,59.75652105542487,4.5425
21794,"Everett, WA (MSAD)",2019,361.86,6.589295708268295,1.0276280708327645,3.797610821567624,7.786995817296488,94027.0,44.14230865230995,6.291401398778273,59.71743622850359,3.935
21794,"Everett, WA (MSAD)",2021,502.06,21.042480351029468,0.39835722245464833,5.558117654073338,8.6160705471515,101721.0,46.84697372413716,5.608977890598337,61.01674915888228,2.9575
21794,"Everett, WA (MSAD)",2022,504.19,0.4242520814245365,0.5657409985609041,3.737897178954709,8.593589495691687,106909.0,46.866466894291584,5.739569868574203,59.815088298440045,5.3425
21794,"Everett, WA (MSAD)",2023,531.03,5.323389991868144,0.26247766622180535,4.161498815140023,9.045525822216618,110744.0,48.60360938494052,6.15384792787474,59.84685072676481,6.805
